Код;Коротка назва;Колір;Іконка;Детальний опис
210106;Заходи з захисту від надзвичайних ситуацій;;;Заходи у сфері захисту населення і територій від надзвичайних ситуацій техногенного та природного характеру
210107;Заходи з мобілізаційної підготовки на місцях;;;Заходи та роботи з мобілізаційної підготовки місцевого значення
210110;Заходи з рятування на водах;;;Заходи з організації рятування на водах
210120;Видатки на ліквідацію наслідків стихійного лиха;;;Видатки на ліквідацію наслідків стихійного лиха, що сталося 23 - 27 липня 2008 року
230000;Обслуговування боргу;;;Обслуговування боргу
230100;Обслуговування внутрішнього боргу;;;Обслуговування внутрішнього боргу
230200;Обслуговування зовнішнього боргу;;;Обслуговування зовнішнього боргу
240000;Цільові фонди;;;Цільові фонди
240601;Раціональне використання природних ресурсів;;;Охорона та раціональне використання природних ресурсів
240602;Утилізація відходів;;;Утилізація відходів
240603;Ліквідація іншого забруднення природи;;;Ліквідація іншого забруднення навколишнього природного середовища
240604;Інша діяльність у сфері охорони природи;;;Інша діяльність у сфері охорони навколишнього природного середовища
240605;Збереження природно-заповідного фонду;;;Збереження природно-заповідного фонду
240606;Заходи по заповненню водосховищ;;;Заходи по заповненню водосховищ
240800;Інші фонди;;;Інші фонди
240900;Цільові фонди;;;Цільові фонди, утворені Верховною Радою Автономної Республіки Крим, органами місцевого самоврядування і місцевими органами виконавчої влади
250000;Видатки;;;Видатки, не віднесені до основних груп
250102;Резервний фонд;;;Резервний фонд
250203;Проведення виборів депутатів ВР АРК;;;Проведення виборів народних депутатів Верховної Ради Автономної Республіки Крим, місцевих рад та сільських, селищних, міських голів
250205;Проведення референдумів;;;Проведення референдумів
250207;Утримання апарату Виборчої комісії АРК;;;Утримання апарату Виборчої комісії Автономної Республіки Крим
250301;Кошти;;;Кошти, що передаються до державного бюджету з бюджету Автономної Республіки Крим, обласних і районних бюджетів, міських (міст Києва та Севастополя, міст республіканського Автономної Республіки Крим та обласного значення) бюджетів, інших бюджетів місцевого самоврядування, для яких у державному бюджеті визначаються міжбюджетні трансферти
250302;Кошти;;;Кошти, що передаються до районних та міських (міст Києва і Севастополя, міст республіканського і обласного значення) бюджетів з міських (міст районного значення), селищних, сільських та районних у містах бюджетів
250303;Кошти;;;Кошти, що передаються за взаємними розрахунками із додаткової дотації до державного бюджету
250304;Кошти;;;Кошти, що передаються за взаємними розрахунками із додаткової дотації з районних та міських (міст Києва і Севастополя, міст республіканського та обласного значення) до міських (міст районного значення), селищних та сільських бюджетів
250305;Кошти;;;Кошти, що передаються за взаємними розрахунками із додаткової дотації з міських (міст районного значення), селищних та сільських бюджетів до районних та міських (міст Києва і Севастополя, міст республіканського та обласного значення) бюджетів
250307;Кошти;;;Кошти, що передаються за взаємними розрахунками до державного бюджету з місцевих бюджетів
250308;Кошти;;;Кошти, що передаються за взаємними розрахунками до місцевих бюджетів з державного бюджету
250309;Кошти;;;Кошти, що передаються за взаємними розрахунками між місцевими бюджетами
250310;;;;Додаткова дотація з державного бюджету місцевим бюджетам на компенсацію втрат доходів місцевих бюджетів внаслідок наданих державою податкових пільг зі сплати земельного податку суб'єктам космічної діяльності та суб'єктам літакобудування
250311;Дотації вирівнювання;;;Дотації вирівнювання, що передаються з районних та міських (міст Києва і Севастополя, міст республіканського і обласного значення) бюджетів
250313;;;;Додаткова дотація з державного бюджету на вирівнювання фінансової забезпеченості місцевих бюджетів
250314;Дотація на забезпечення пальним;;;Додаткова дотація з державного бюджету місцевим бюджетам на забезпечення пальним станцій (відділень) екстреної, швидкої та невідкладної медичної допомоги
250315;Інші додаткові дотації;;;Інші додаткові дотації
250316;Субвенція Донецькій області (ПЕТ-КТ центр);;;Субвенція з державного бюджету обласному бюджету Донецької області на будівництво ПЕТ-КТ центру, капітальний ремонт і реконструкцію лікарняних споруд та закупівлю високовартісного медичного обладнання для Донецького обласного клінічного територіального медичного об'єднання
250317;;;;Додаткова дотація з державного бюджету місцевим бюджетам на компенсацію втрат доходів внаслідок розміщення Чорноморського флоту Російської Федерації на території міст Севастополя, Феодосії та смт Гвардійське Сімферопольського району
250318;;;;Додаткова дотація з державного бюджету місцевим бюджетам на поліпшення умов оплати праці медичних працівників, які надають медичну допомогу хворим на заразну та активну форми туберкульозу
250320;;;;"Додаткова дотація з державного бюджету місцевим бюджетам на здійснення повноважень, встановлених Законом України ""Про затвердження Конституції Автономної Республіки Крим"""
250321;;;;Субвенція з державного бюджету місцевим бюджетам на відшкодування частини відсоткових ставок по залучених кредитах на оновлення парку автобусів та тролейбусів приймаючих міст по підготовці до проведення в Україні фінальної частини чемпіонату Європи 2012 року з футболу
250322;Позицію виключено;;;Позицію виключено
250323;Субвенція на утримання об'єктів спільного користування;;;Субвенція на утримання об'єктів спільного користування чи ліквідацію негативних наслідків діяльності об'єктів спільного користування
250324;Субвенція місцевим бюджетам (сім'ї з дітьми);;;Субвенція іншим бюджетам на виконання інвестиційних проектів
250326;Субвенція місцевим бюджетам (сім'ї з дітьми);;;Субвенція з державного бюджету місцевим бюджетам на виплату допомоги сім'ям з дітьми, малозабезпеченим сім'ям, інвалідам з дитинства, дітям-інвалідам та тимчасової державної допомоги дітям
250327;Позицію виключено;;;Позицію виключено
250328;Субвенція місцевим бюджетам (пільги на електроенергію);;;Субвенція з державного бюджету місцевим бюджетам на надання пільг та житлових субсидій населенню на оплату електроенергії, природного газу, послуг тепло-, водопостачання і водовідведення, квартирної плати (утримання будинків і споруд та прибудинкових територій), вивезення побутового сміття та рідких нечистот
250329;Субвенція місцевим бюджетам (надяння пільг);;;Субвенція з державного бюджету місцевим бюджетам на надання пільг з послуг зв'язку та інших передбачених законодавством пільг, в тому числі компенсації втрати частини доходів у зв'язку з відміною податку з власників транспортних засобів та відповідним збільшенням ставок акцизного податку з пального для фізичних осіб (крім пільг на одержання ліків, зубопротезування, оплату електроенергії, природного і скрапленого газу на побутові потреби, твердого та рідкого пічного побутового палива, послуг тепло-, водопостачання і водовідведення, квартирної плати (утримання будинків і споруд та прибудинкових територій), вивезення побутового сміття та рідких нечистот) та компенсацію за пільговий проїзд окремих категорій громадян
250330;Субвнція населенню (придбання палива);;;Субвенція з державного бюджету місцевим бюджетам на надання пільг та житлових субсидій населенню на придбання твердого та рідкого пічного побутового палива і скрапленого газу
250332;Позицію виключено;;;Позицію виключено
250335;Ремонт приміщень згідно «Вдосконалення системи соціальної допомоги»;;;"Субвенція з державного бюджету місцевим бюджетам на фінансування ремонту приміщень управлінь праці та соціального захисту виконавчих органів міських (міст республіканського в Автономній Республіці Крим і обласного значення) районних у містах Києві і Севастополі та районних у містах рад для здійснення заходів з виконання спільного із Світовим банком проекту ""Вдосконалення системи соціальної допомоги"""
250336;Позицію виключено;;;Позицію виключено
250338;Субвенція м. Севастополь (соціоекономічний розвиток);;;Субвенція державного бюджету місцевим бюджетам на розвиток соціально-економічної сфери міста Севастополя та інших населених пунктів, в яких дислокуються військові формування Чорноморського флоту Російської Федерації на території України
250339;Позицію виключено;;;Позицію виключено
250341;Позицію виключено;;;Позицію виключено
250342;;;;Субвенція з державного бюджету місцевим бюджетам на збереження середньої заробітної плати на період працевлаштування посадових осіб місцевого самоврядування з числа депутатів відповідних рад, що потребують працевлаштування в зв'язку із закінченням строку повноважень
250344;;;;Субвенція з місцевого бюджету державному бюджету на виконання програм соціально-економічного та культурного розвитку регіонів
250346;;;;"Субвенція з державного бюджету міському бюджету міста Києва для проведення консервації та сучасної музеєфікації, завершення археологічних досліджень Старокиївської гори із залишками фундаменту Десятинної церкви території пам'ятки археології національного значення ""Дитинець стародавнього Києва VIII - X ст. з фундаментом Десятинної церкви X ст."""
250349;Позицію виключено;;;Позицію виключено
250351;Позицію виключено;;;Позицію виключено
250351;Субвенція місцевим бюджетам (розвиток регіонів);;;Субвенції з державного бюджету місцевим бюджетам на реалізацію пріоритетів розвитку регіонів
250352;Субвенція на проведення видатків місцевих бюджетів;;;Субвенція на проведення видатків місцевих бюджетів, що враховуються при визначенні обсягу міжбюджетних трансфертів
250353;Субвенція на проведення видатків місцевих бюджетів;;;Субвенція на проведення видатків місцевих бюджетів, що не враховуються при визначенні обсягу міжбюджетних трансфертів
250354;Субвенція місцевим бюджетам (будівництво);;;Субвенція з державного бюджету місцевим бюджетам на будівництво, реконструкцію, ремонт та утримання вулиць і доріг комунальної власності у населених пунктах
250355;Субвенція для  АРК (соціоекономічний розвиток);;;Субвенція з державного бюджету на соціально-економічний розвиток Автономної Республіки Крим
250356;;;;Субвенція з державного бюджету обласному бюджету Луганської області на капітальний ремонт управління соціального захисту населення
250357;Позицію виключено;;;Позицію виключено
250357;;;;"Субвенція з державного бюджету обласному бюджету Одеської області на проведення першочергових робіт з будівництва системи відводу стічних вод від станції біологічної очистки ""Північна"" у місті Одесі на об'єкті ""Глибоководний випуск"""
250358;Субвенція місцевим бюджетам (соціоекономічний розвиток);;;Субвенція з державного бюджету місцевим бюджетам на соціально-економічний розвиток
250359;Субвенція місцевим бюджетам (охорона здоров'я);;;Субвенція з державного бюджету місцевим бюджетам на придбання витратних матеріалів та медичного обладнання для закладів охорони здоров'я
250361;Позицію виключено;;;Позицію виключено
250361;Субвенція Київськії області (соціоекономічний розвиток);;;Субвенція з державного бюджету обласному бюджету Волинської області на соціально-економічний розвиток Волинської області
250362;;;;Субвенція з державного бюджету місцевим бюджетам на фінансування заходів соціально-економічної компенсації ризику населення, яке проживає на території зони спостереження
250366;Субвенція місцевим бюджетам (соціоекономічний розвиток);;;Субвенція з державного бюджету місцевим бюджетам на здійснення заходів щодо соціально-економічного розвитку окремих територій
250369;;;;Субвенція з державного бюджету на завершення будівництва та введення в експлуатацію амбулаторії смт Глеваха Васильківського району Київської області
250376;Субвенція для допомоги дітям-сиротам;;;"Субвенція з державного бюджету місцевим бюджетам на виплату державної соціальної допомоги на дітей-сиріт та дітей, позбавлених батьківського піклування, грошового забезпечення батькам-вихователям і прийомним батькам за надання соціальних послуг у дитячих будинках сімейного типу та прийомних сім'ях за принципом ""гроші ходять за дитиною"""
250380;Інші субвенції;;;Інші субвенції
250382;;;;Субвенція з державного бюджету місцевим бюджетам на фінансування Програм - переможців Всеукраїнського конкурсу проектів та програм розвитку місцевого самоврядування
250383;Субвенція для погашення заборгованості (тепло);;;Субвенція з державного бюджету місцевим бюджетам на погашення заборгованості з різниці в тарифах на теплову енергію, що вироблялася, транспортувалася та постачалася населенню, яка виникла в зв'язку з невідповідністю фактичної вартості теплової енергії тарифам, що затверджувалися або погоджувалися відповідними органами державної влади чи органами місцевого самоврядування
250384;Позицію виключено;;;Позицію виключено
250384;Субвенція м. Донецьк (охорона здоров'я);;;Субвенція з державного бюджету міському бюджету міста Донецька на придбання сучасного медичного обладнання для закладів охорони здоров'я
250388;Субвенція для виборів ВР АРК;;;Субвенція з державного бюджету місцевим бюджетам на проведення виборів депутатів Верховної Ради Автономної Республіки Крим, місцевих рад та сільських, селищних, міських голів
250389;Субвенція м.Київ (охорона здоров'я);;;Субвенція з державного бюджету міському бюджету міста Києва на забезпечення функціонування Центру ядерної медицини з використанням ПЕТ-технологій Київської міської онкологічної лікарні
250390;Субвенція м. Дзержинськ (охорона здоров'я);;;Субвенція з державного бюджету міському бюджету міста Дзержинськ Донецької області на придбання сучасного лікувально-діагностичного обладнання для закладів охорони здоров'я
250391;Субвенція Дніпропетровській області (охорона здоров'я);;;Субвенція з державного бюджету обласному бюджету Дніпропетровської області на придбання медичного обладнання та автомобілів швидкої медичної допомоги для закладів охорони здоров'я
250392;Субвенція Київській області (охорона здоров'я);;;Субвенція з державного бюджету обласному бюджету Київської області на придбання медичного обладнання для Київської обласної клінічної лікарні
250393;Субвенція Закарпатській області (охорона здоров'я);;;Субвенція з державного бюджету обласному бюджету Закарпатської області на придбання сучасного високовартісного лікувального та діагностичного обладнання для закладів охорони здоров'я
250395;Субвенція Баранівському району (соціоекономічний розвиток);;;Субвенція з державного бюджету бюджету Баранівського району Житомирської області на соціально-економічний розвиток
250396;Субвенція Червоноармійському району (соціоекономічний розвиток);;;Субвенція з державного бюджету бюджету Новоград-Волинського району Житомирської області на соціально-економічний розвиток
250397;Субвенція Червоноармійському району (соціоекономічний розвиток);;;Субвенція з державного бюджету бюджету Червоноармійського району Житомирської області на соціально-економічний розвиток
250398;Субвенція Ємільчинському району (соціоекономічний розвиток);;;Субвенція з державного бюджету бюджету Ємільчинського району Житомирської області на соціально-економічний розвиток
250398;Позицію виключено;;;Позицію виключено
250402;Видатки на покриття заборгованостей;;;Видатки на покриття заборгованостей, що виникли у попередні роки із заробітної плати працівників бюджетних установ, грошового забезпечення, стипендій та інших соціальних виплат
250403;Видатки на покриття заборгованостей;;;Видатки на покриття інших заборгованостей, що виникли у попередні роки
250404;Інші видатки;;;Інші видатки
250405;Будівництво та реконструкція релігійних споруд;;;Видатки на будівництво та реконструкцію релігійних споруд
250901;Впровадження проектів розвитку;;;Впровадження проектів розвитку за рахунок коштів, залучених державою
250902;Повернення позик;;;Повернення позик, наданих для впровадження проектів розвитку за рахунок коштів, залучених державою
250903;Надання бюджетних позичок СПД;;;Надання бюджетних позичок суб'єктам підприємницької діяльності
250904;Повернення бюджетних позичок;;;Повернення бюджетних позичок
250905;Часткова компенсація відсоткової ставки;;;Часткова компенсація відсоткової ставки кредитів комерційних банків молодим сім'ям та одиноким молодим громадянам на будівництво (реконструкцію) та придбання житла
250907;Погашення відсотків за кредит;;;Погашення відсотків за користування довгостроковими пільговими кредитами на будівництво (реконструкцію) та придбання житла для молодих сімей та інших соціально незахищених категорій громадян
250908;Пільговий кредит громадянам на житло;;;Надання пільгового довгострокового кредиту громадянам на будівництво (реконструкцію) та придбання житла
250909;Повернення коштів;;;Повернення коштів, наданих для кредитування громадян на будівництво (реконструкцію) та придбання житла
250910;Пільговий кредит житлово-будівельним кооперативам;;;Надання пільгового кредиту членам житлово-будівельних кооперативів
250911;Державний кредит сільским забудовникам;;;Надання державного пільгового кредиту індивідуальним сільським забудовникам
250912;Повернення коштів;;;Повернення коштів, наданих для кредитування індивідуальних сільських забудовників
250913;Витрати;;;Витрати, пов'язані з наданням та обслуговуванням пільгових довгострокових кредитів, наданих громадянам на будівництво (реконструкцію) та придбання житла
250914;Витрати;;;Витрати, пов'язані з наданням та обслуговуванням державних пільгових кредитів, наданих індивідуальним сільським забудовникам
250915;Ремонт приміщень згідно «Вдосконалення системи соціальної допомоги»;;;"Фінансування ремонту приміщень управлінь праці та соціального захисту виконавчих органів міських (міст республіканського в Автономній Республіці Крим і обласного значення), районних у містах Києві і Севастополі та районних у містах рад для здійснення заходів з виконання спільного із Світовим банком проекту ""Вдосконалення системи соціальної допомоги"""
