Code;Short name;Color;Icon;Details
250357;State budget subvention to local budgets on infrastructure recovery (construction, overhaul, reconstruction) in Donetsk and Lagans regions;;;State budget subvention to local budgets on infrastructure recovery (construction, overhaul, reconstruction) in Donetsk and Lagans regions
250358;State budget subvention to local budgets (on socioeconomic development);;;State budget subvention to local budgets (on socioeconomic development)
250359;State budget subvention to local budgets on purchase of supplies & medical equipment for health facilities;;;State budget subvention to local budgets on purchase of supplies & medical equipment for health facilities
250361;State budget subvention to local budgets on purchase new tram cars of domestic production;;;State budget subvention to local budgets on purchase new tram cars of domestic production
250362;State budget subvention to local budgets on financing of socio-economic compensation for the risks of population, living in the surveillance zone;;;State budget subvention to local budgets on financing of socio-economic compensation for the risks of population, living in the surveillance zone
250366;State budget subvention to local budgets on implementation of measures for socio-economic development of certain areas;;;State budget subvention to local budgets on implementation of measures for socio-economic development of certain areas
250369;State budget subvention to local budgets on completion of construction and commissioning of outpatient clinics in Glevaha (Kyiv region);;;State budget subvention to local budgets on completion of construction and commissioning of outpatient clinics in Glevaha (Kyiv region)
250376;"State budget subvention to local budgets on payments of state social assistance to orphans and children deprived of parental care, payments to parents & foster parents for providing social services in children's homes & foster families by the principle ""money follows the child""";;;"State budget subvention to local budgets on payments of state social assistance to orphans and children deprived of parental care, payments to parents & foster parents for providing social services in children's homes & foster families by the principle ""money follows the child"""
250380;Other subventions;;;Other subventions
250382;"State budget subvention to local budgets on financing of the programs - winners of the ""projects & programs of local government contest""";;;"State budget subvention to local budgets on financing of the programs - winners of the ""projects & programs of local government contest"""
250383;State budget subvention to local budgets on the coverage of difference between tariffs on thermal energy & market prices for its production;;;State budget subvention to local budgets on the coverage of difference between tariffs on thermal energy & market prices for its production
250384;State budget subvention to local budgets on construction (purchase) of housing for families of fallen & disabled of I & II groups soldiers who took part in anti-terrorist operations;;;State budget subvention to local budgets on construction (purchase) of housing for families of fallen & disabled of I & II groups soldiers who took part in anti-terrorist operations
250388;State budget subvention to local budgets on the conduction of elections (deputies of the Verkhovna Rada of the Autonomous Republic of Crimea, local councils & village, town and city mayors);;;State budget subvention to local budgets on the conduction of elections (deputies of the Verkhovna Rada of the Autonomous Republic of Crimea, local councils & village, town and city mayors)
250389;State budget subvention to the budget of Kyiv city on the upkeep of functioning of the Centre of nuclear medicine using PET technology Kyiv City Oncology Hospital;;;State budget subvention to the budget of Kyiv city on the upkeep of functioning of the Centre of nuclear medicine using PET technology Kyiv City Oncology Hospital
250390;State budget subvention to Odesa regional budget on the construction of a medical building of the Odessa Regional Children's Hospital;;;State budget subvention to Odesa regional budget on the construction of a medical building of the Odessa Regional Children's Hospital
250391;State budget subvention to local budgets on partial funding of youth sports schools, which received support from the Social Insurance Fund on temporary disability, before 2015 ;;;State budget subvention to local budgets on partial funding of youth sports schools, which received support from the Social Insurance Fund on temporary disability, before 2015
250392;State budget subvention to Kyiv regional budget for the purchase of medical equipment for the Kyiv Regional Hospital;;;State budget subvention to Kyiv regional budget for the purchase of medical equipment for the Kyiv Regional Hospital
250393;State budget subvention to Transkarpathian regional budget on purchase of expensive modern medical and diagnostic equipment for health facilities;;;State budget subvention to Transkarpathian regional budget on purchase of expensive modern medical and diagnostic equipment for health facilities
250395;State budget subvention to Baranivsky district of Zhytomyr region on socioeconomic development;;;State budget subvention to Baranivsky district of Zhytomyr region on socioeconomic development
250396;State budget subvention to Novograd-Volynsyky district of Zhytomyr region on socioeconomic development;;;State budget subvention to Novograd-Volynsyky district of Zhytomyr region on socioeconomic development
250397;State budget subvention to Chervonoarmiysyk district of Zhytomyr region on socioeconomic development;;;State budget subvention to Chervonoarmiysyk district of Zhytomyr region on socioeconomic development
250398;State budget subvention to Emilychynsyky district of Zhytomyr region on socioeconomic development;;;State budget subvention to Emilychynsyky district of Zhytomyr region on socioeconomic development
250398;Position Deleted;;;Position Deleted
250402;Expenditures to cover debts incurred in previous years (wages of state employees, salaries, stipends & other social benefits);;;Expenditures to cover debts incurred in previous years (wages of state employees, salaries, stipends & other social benefits)
250403;Expenditures to cover other debts that occurred in previous periods;;;Expenditures to cover other debts that occurred in previous periods
250404;Other expenditures;;;Other expenditures
250405;Construction & reconstruction of religious buildings;;;Construction & reconstruction of religious buildings
250901;Implementation of development projects from the funds raised by the state;;;Implementation of development projects from the funds raised by the state
250902;Return of loans given for the implementation of development projects with funds raised by the state;;;Return of loans given for the implementation of development projects with funds raised by the state
250903;Provision of budget loans to business entities;;;Provision of budget loans to business entities
250904;Repayment of budgetary loans;;;Repayment of budgetary loans
250905;Partial compensation of the commercial bank interest rates on loans to young families & single young citizens for construction (reconstruction) & housing;;;Partial compensation of the commercial bank interest rates on loans to young families & single young citizens for construction (reconstruction) & housing
250907;Repayment of interest rates on long-term preferential loans for construction (reconstruction) & housing for young families and other socially vulnerable categories of citizens;;;Repayment of interest rates on long-term preferential loans for construction (reconstruction) & housing for young families and other socially vulnerable categories of citizens
250908;Preferential long-term loans to citizens for construction (reconstruction) & housing ;;;Preferential long-term loans to citizens for construction (reconstruction) & housing
250909;Refund on citizens loans for construction (reconstruction) & housing;;;Refund on citizens loans for construction (reconstruction) & housing
250910;Preferential credits for members of housing cooperatives;;;Preferential credits for members of housing cooperatives
250911;Providing state preferential loans to individual rural developers;;;Providing state preferential loans to individual rural developers
250912;Refunds on state preferential loans to individual rural developers;;;Refunds on state preferential loans to individual rural developers
250913;Costs connected with the provision & servicing of preferential long-term loans to citizens for construction (reconstruction) & housing;;;Costs connected with the provision & servicing of preferential long-term loans to citizens for construction (reconstruction) & housing
250914;Costs connected  with the provision & servicing of state preferential loans to individual rural developers;;;Costs connected  with the provision & servicing of state preferential loans to individual rural developers
250915;"Financing of the local executive bodies facilities repair (objects of departments of labor & social protection) as measures of implementing the joint with WB project ""Improvement of Social Assistance""";;;"Financing of the local executive bodies facilities repair (objects of departments of labor & social protection) as measures of implementing the joint with WB project ""Improvement of Social Assistance"""
250406;Expenditures for the implementation of aid programs & grants from international financial institutions & the European Union;;;Expenditures for the implementation of aid programs & grants from international financial institutions & the European Union
