Код;Коротка назва;Колір;Іконка;Детальний опис
19040300;Реструктуризація заборгованості зі сплати сільськогосподарського податкуНадходження сум реструктурованої заборгованості зі сплати фіксованого сільськогосподарського податку 
19050000;Збір за забруднення навколишнього природного середовищаЗбір за забруднення навколишнього природного середовища 
19050100;Надходження коштів від енергопідприємств до фонду охорони природи;;;Надходження коштів від енергопідприємств до Державного фонду охорони навколишнього природного середовища 
19050200;Інші збори за забруднення природи;;;Інші збори за забруднення навколишнього природного середовища до Фонду охорони навколишнього природного середовища 
19050300;Надходження від сплати збору за забруднення природи фіз. особамиНадходження від сплати збору за забруднення навколишнього природного середовища фізичними особами 
19060000;Збір на розвиток виноградарства;;;Збір на розвиток виноградарства, садівництва і хмелярства
19060100;Збір на розвиток виноградарства;;;Збір на розвиток виноградарства, садівництва і хмелярства  
19060200;Реструктуризація заборгованості зі сплати збору (розвиток виноградарства);;;Надходження сум реструктурованої заборгованості зі сплати збору на розвиток виноградарства, садівництва і хмелярства  
19070000;Збір за користування радіочастотним ресурсом України ;;;Збір за користування радіочастотним ресурсом України
19090000;Податки та збори;;;Податки та збори, не віднесені до інших категорій
19090400;Кошти за погашення податкового боргу;;;Кошти, сплачені в рахунок погашення податкового боргу відповідно до норм Податкового кодексу України за доходами, визначеними частиною другою статті 29 Бюджетного кодексу України, зокрема за податками і зборами (обов'язковими платежами), які справлялися до 1 січня 2011 року та встановлені Податковим кодексом України,
20000000;Неподаткові надходження;;;Неподаткові надходження 
21000000;Доходи від власності та підприємницької діяльностіДоходи від власності та підприємницької діяльності 
21010000;Частина чистого прибутку державних або комунальних підприємств;;;Частина чистого прибутку (доходу) державних або комунальних унітарних підприємств та їх об'єднань, що вилучається до відповідного бюджету, та дивіденди (дохід), нараховані на акції (частки, паї) господарських товариств, у статутних капіталах яких є державна або комунальна власність
21010100;Частина чистого прибутку  господарських організацій;;;Частина чистого прибутку (доходу) господарських організацій (державних унітарних підприємств та їх об'єднань), що вилучається до державного бюджету відповідно до закону
21010300;Частина чистого прибутку  комунальних підприємств;;;Частина чистого прибутку (доходу) комунальних унітарних підприємств та їх об'єднань, що вилучається до відповідного місцевого бюджету
21010500;Дивіденди (доход);;;Дивіденди (доход), нараховані на акції (частки, паї) господарських товариств, у статутних капіталах яких є державна власність
21010600;Надходження від погашення заборгованості;;;Надходження від погашення заборгованості, в тому числі реструктуризованої або розстроченої (відстроченої), підприємств електроенергетичної, вугільної галузей, підприємств, що надають послуги з виробництва, транспортування та постачання теплової енергії, підприємств централізованого водопостачання та водовідведення із сплати частини чистого прибутку (доходу) державних унітарних підприємств та їх об'єднань, що вилучається до державного бюджету відповідно до закону, та дивідендів (доходу), нарахованих на акції (частки, паї) господарських товариств, у статутних капіталах яких є державна власність
21010700;Надходження від сплати дивідендів («Нафтогаз України»);;;"Надходження від сплати дивідендів (доходу), нарахованих на акції (частки, паї) за результатами фінансово-господарської діяльності за 2011 рік публічного акціонерного товариства ""Національна акціонерна компанія ""Нафтогаз України"""
21010800;Дивіденди (дохід);;;Дивіденди (дохід), нараховані на акції (частки, паї) господарських товариств, у статутних капіталах яких є майно Автономної Республіки Крим, комунальна власність
21010900;"Заборгованість із сплати частини доходу ""Нафтогаз України""";;;"Заборгованість за минулі періоди із сплати частини чистого прибутку (доходу) Національної акціонерної компанії ""Нафтогаз України"" та її підприємств  "
21020000;"Кошти, що перераховуються Національним банком України";;;"Кошти, що перераховуються Національним банком України відповідно до Закону України ""Про Національний банк України"" "
21030000;Відрахування коштів;;;Відрахування коштів, отриманих від проведення державних лотерей в Україні
21040000;Плата за розміщення тимчасово вільних коштів державного бюджетуПлата за розміщення тимчасово вільних коштів державного бюджету 
21050000;Плата за розміщення тимчасово вільних коштів місцевих бюджетів ;;;Плата за розміщення тимчасово вільних коштів місцевих бюджетів
21080000;Інші надходження;;;Інші надходження 
21080100;Платежі за перебуванням Чорноморського флоту РФ;;;Платежі, пов'язані з перебуванням Чорноморського флоту Російської Федерації на території України, відповідно до укладеної міжурядової угоди
21080200;Платежі пов'язані з виконанням Угоди між Урядом України і Урядом РФ;;;Платежі, пов'язані з виконанням Угоди між Урядом України і Урядом Російської Федерації про участь Російської Федерації в розвитку соціально-економічної сфери міста Севастополя та інших населених пунктів, в яких дислокуються військові формування Чорноморського флоту Російської Федерації на території України 
21080500;Інші надходження;;;Інші надходження
21080600;Суми  стягнені з винних осіб;;;Суми, стягнені з винних осіб, за шкоду, заподіяну державі, підприємству, установі, організації 
21080700;Перерахування підприємцями частки вартості від нестандартної продукції ;;;Перерахування підприємцями частки вартості виготовленої нестандартної продукції з дозволу на тимчасове відхилення від вимог відповідних стандартів щодо якості продукції, виданого Державним комітетом України по стандартизації, метрології і сертифікації
21080800;Суми з винних осіб за порушення пожежної безпеки  ;;;Суми, стягнені з винних осіб за порушення правил пожежної безпеки  
21080900;Штрафи за порушення законодавства про патентування;;;Штрафні санкції за порушення законодавства про патентування, за порушення норм регулювання обігу готівки та про застосування реєстраторів розрахункових операцій у сфері торгівлі, громадського харчування та послуг 
21081000;Пеня за порушення термінів розрахунків у зовнішньоекономічній діяльності;;;Пеня за порушення термінів розрахунків у сфері зовнішньоекономічної діяльності, за невиконання зобов'язань та штрафні санкції за порушення вимог валютного законодавства  
21081100;Адміністративні штрафи та інші санкції ;;;Адміністративні штрафи та інші санкції
21081200;Штрафи за порушення використання енергетичних ресурсівШтрафні санкції за порушення законодавства з питань забезпечення ефективного використання енергетичних ресурсів 
21081300;Адміністративні штрафи для забезпечення безпеки дорожнього рухуАдміністративні штрафи у сфері забезпечення безпеки дорожнього руху 
21081400;Надходження податків і зборів (обов'язкових платежів);;;Надходження податків і зборів (обов'язкових платежів), які справлялися до 1 січня 2011 року, але не визначені Податковим кодексом (крім податків та зборів, які надходили до місцевих бюджетів), включаючи розстрочені та відстрочені суми грошових зобов'язань, суми податкового боргу з урахуванням штрафних санкцій та пені, що обліковувались станом на 31 грудня 2010 року та сум донарахованих за актами перевірок
21082000;Надходження від сплати інвалідами часткової вартості автомобілів;;;Надходження коштів від сплати інвалідами часткової вартості автомобілів та коштів від реалізації автомобілів, повернутих інвалідами 
21090000;Кошти від використання частини виробленої продукції;;;Кошти від використання (реалізації) частини виробленої продукції, що залишається у власності держави відповідно до угод про розподіл продукції
21110000;Відшкодування втрат сільсько- та лісогосподарського виробництваНадходження коштів від відшкодування втрат сільськогосподарського і лісогосподарського виробництва 
22000000;Адміністративні збори та платежі;;;Адміністративні збори та платежі, доходи від некомерційної господарської діяльності 
22010000;Плата за надання адміністративних послуг;;;Плата за надання адміністративних послуг
22010200;Плата за ліцензії на певні види господарської діяльності;;;Плата за ліцензії на певні види господарської діяльності та сертифікати, що видаються Радою міністрів Автономної Республіки Крим, виконавчими органами місцевих рад і місцевими органами виконавчої влади 
22010300;Реєстраційний збір для підприємців ;;;Реєстраційний збір за проведення державної реєстрації юридичних осіб та фізичних осіб - підприємців
22010400;Кошти в іноземній валюті за реєстрацію іноземних підприємств;;;Кошти в іноземній валюті за реєстрацію представництв іноземних суб'єктів господарської діяльності 
22010500;Плата за ліцензії на виробництво спирту;;;Плата за ліцензії на виробництво спирту етилового, коньячного і плодового, алкогольних напоїв та тютюнових виробів
22010600;Плата за ліцензії на право обігу спирту;;;Плата за ліцензії на право експорту, імпорту та оптової торгівлі спирту етилового, коньячного та плодового
22010700;Плата за ліцензії на право обігу тютюнових виробів і алкоголю;;;Плата за ліцензії на право експорту, імпорту алкогольними напоями та тютюновими виробами  
22010900;Плата за державну реєстрацію;;;Плата за державну реєстрацію (крім реєстраційного збору за проведення державної реєстрації юридичних осіб та фізичних осіб - підприємців)
22011000;Плата за ліцензії на оптову торгівлю алкоголем та тютюновими виробамиПлата за ліцензії на право оптової торгівлі алкогольними напоями та тютюновими виробами 
22011100;Плата за ліцензії на роздрібну торгівлю алкоголем та тютюновими виробамиПлата за ліцензії на право роздрібної торгівлі алкогольними напоями та тютюновими виробами 
22011200;Плата за видачу  продовження;;;Плата за видачу, продовження, переоформлення ліцензій і за видачу дубліката ліцензій на мовлення, та ліцензій провайдера програмної послуги
22011400;Плата за видачу  переоформлення;;;Плата за видачу, переоформлення, продовження терміну дії ліцензій на користування радіочастотним ресурсом України та видачу дублікатів таких ліцензій 
22011500;Плата за ліцензії  видані Національною комісією;;;Плата за ліцензії, видані Національною комісією, що здійснює державне регулювання у сфері енергетики
22011700;Плата за видачу  переоформлення;;;Плата за видачу, переоформлення, продовження терміну дії ліцензій на здійснення діяльності у сфері телекомунікацій та видачу копій і дублікатів таких ліцензій 
22011800;Плата за ліцензії та сертифікати;;;Плата за ліцензії та сертифікати, що сплачується ліцензіатами за місцем здійснення діяльності 
22011900;Збори за підготовку до державної реєстрації авторського права;;;Збори за підготовку до державної реєстрації авторського права і договорів, які стосуються прав автора на твір, та плата за одержання контрольних марок
22012000;Плата за видачу дозволів на право ввезення;;;Плата за видачу дозволів на право ввезення на територію України, вивезення з території України або транзиту через територію України наркотичних засобів, психотропних речовин і прекурсорів
22012100;Збір за видачу спеціальних дозволів на користування надрами;;;Збір за видачу спеціальних дозволів на користування надрами та кошти від продажу таких дозволів
22012200;Плата за виділення номерного ресурсу;;;Плата за виділення номерного ресурсу
22012300;Плата за державну реєстрацію джерел іонізуючого випромінювання;;;Плата за державну реєстрацію джерел іонізуючого випромінювання (реєстраційний збір)
22012400;Плата за оформлення посвідчення закордонного українця;;;Плата за оформлення посвідчення закордонного українця
22012500;Плата за надання інших адміністративних послуг;;;Плата за надання інших адміністративних послуг
22020000;Плата за утримання дітей у школах-інтернатахПлата за утримання дітей у школах-інтернатах 
22030000;Судовий збір;;;Судовий збір
22050000;Оплата інформаційно-технічного забезпечення  у судахНадходження від оплати витрат з інформаційно-технічного забезпечення розгляду справ у судах 
22060000;Кошти за вчинення консульських дій;;;Кошти, отримані за вчинення консульських дій
22070000;Виконавчий збір;;;Виконавчий збір
22080000;Орендна плата (користування цілісним майновим комплексом);;;Надходження від орендної плати за користування цілісним майновим комплексом та іншим державним майном 
22080100;Орендна плата (користування цілісним майновим комплексом) ;;;Надходження від орендної плати за користування цілісним майновим комплексом 
22080200;Орендна плата користування майном бюджетних установНадходження від орендної плати за користування майном бюджетних установ 
22080300;Орендна плата користування іншим державним майномНадходження від орендної плати за користування іншим державним майном 
22080400;Орендна плата користування майновим комплексом;;;Надходження від орендної плати за користування цілісним майновим комплексом та іншим майном, що перебуває в комунальній власності 
22080500;Надходження платежів по кредитам орендареві;;;Надходження платежів за надані орендареві грошові кошти та цінні папери на умовах кредиту 
22090000;Державне мито;;;Державне мито 
22090100;Державне мито (за місцем оформлення);;;Державне мито, що сплачується за місцем розгляду та оформлення документів, у тому числі за оформлення документів на спадщину і дарування
22090200;Державне мито (інші категорії);;;Державне мито, не віднесене до інших категорій  
22090300;Державне мито (одержання патентів);;;Державне мито за дії, пов'язані з одержанням патентів на об'єкти права інтелектуальної власності, підтриманням їх чинності та передаванням прав їхніми власниками
22090400;Державне мито (закордонні паспорти);;;Державне мито, пов'язане з видачею та оформленням закордонних паспортів (посвідок) та паспортів громадян України  
22090500;Реструктуризація заборгованості зі сплати державного митаНадходження сум реструктурованої заборгованості зі сплати державного мита 
22090600;Державне мито за реєстрацію права власності на нерухоме майно;;;"Державне мито за державну реєстрацію права власності на нерухоме майно; за державну реєстрацію іншого речового права на нерухоме майно, обтяження права на нерухоме майно"
22100000;Митні збори;;;Митні збори 
22110000;Єдиний збір;;;Єдиний збір, який справляється у пунктах пропуску через державний кордон України
22120000;Плата за надані в оренду ставки;;;Плата за надані в оренду ставки, що знаходяться в басейнах річок загальнодержавного значення
22130000;Плата за надані в оренду водні об'єкти місцевого значення ;;;Плата за надані в оренду водні об'єкти місцевого значення
22150000;Портовий  збір;;;Портовий (адміністративний) збір
22150100;Портовий збір (крім риболовних портів);;;Портовий (адміністративний) збір (за винятком портового (адміністративного) збору, що надходить від риболовних портів)
22150200;Портовий збір (від риболовних портів);;;Портовий (адміністративний) збір, що надходить від риболовних портів
22160000;Інші адміністративні збори та платежі;;;Інші адміністративні збори та платежі
22160100;Плата за проїзд автомобільними дорогами;;;Плата за проїзд автомобільними дорогами транспортних засобів та інших самохідних машин і механізмів, вагові або габаритні параметри яких перевищують нормативні
22200000;Плата за виконання митних формальностей;;;Плата за виконання митних формальностей митними органами поза місцем розташування митних органів або поза робочим часом, встановленим для митних органів
24000000;Інші неподаткові надходженняІнші неподаткові надходження 
24010000;Кошти від реалізації майна;;;Кошти від реалізації майна, конфіскованого за рішенням суду
24010100;Кошти від реалізації конфіскованого майна;;;Кошти від реалізації конфіскованого майна за матеріалами митних органів 
24010200;Кошти від реалізації товарів та інших предметів;;;Кошти від реалізації товарів та інших предметів, конфіскованих за матеріалами правоохоронних та інших уповноважених органів  
24010300;Надходження конфіскованої валюти;;;Надходження конфіскованої національної та іноземної валюти за матеріалами митних органів
24010400;Надходження конфіскованої валюти;;;Надходження конфіскованої національної та іноземної валюти за матеріалами правоохоронних й інших уповноважених органів
24030000;Надходження сум кредиторської заборгованості підприємств;;;Надходження сум кредиторської та депонентської заборгованості підприємств, організацій та установ, щодо яких минув строк позовної давності 
24040000;Кошти від реалізації надлишкової космічної техніки;;;Кошти від реалізації надлишкової космічної техніки військового та подвійного призначення
24050000;Кошти від реалізації надлишкового озброєння;;;Кошти від реалізації надлишкового озброєння, військової та спеціальної техніки, нерухомого військового майна Збройних Сил України та інших утворених відповідно до законів України військових формувань, правоохоронних органів та інших державних органів
24060000;Інші надходження;;;Інші надходження 
24060300;Інші надходження;;;Інші надходження 
24060500;Відрахування від реклами тютюнових та алкогольних виробів ;;;Відрахування від суми коштів, витрачених на рекламу тютюнових виробів та/або алкогольних напоїв у межах України  
24060600;Надходження коштів з рахунків виборчих фондівНадходження коштів з рахунків виборчих фондів 
24060700;Нез'ясовані надходження;;;Нез'ясовані надходження 
24060800;Надходження від збору (гастрольні заходи) ;;;Надходження від збору за проведення гастрольних заходів
24061500;Надходження до Державного спеціалізованого фонду;;;Надходження до Державного спеціалізованого фонду фінансування загальнодержавних витрат на авіаційну діяльність та участь України у міжнародних авіаційних організаціях 
24061600;Інші надходження до фондів охорони природи;;;Інші надходження до фондів охорони навколишнього природного середовища 
24061800;Плата за подання скарги до органу оскарження;;;"Плата за подання скарги до органу оскарження відповідно до статті 18 Закону України ""Про здійснення державних закупівель"" "
24061900;Кошти від учасників процедури закупівель;;;"Кошти, отримані від надання учасниками процедури закупівель забезпечення їх пропозиції конкурсних торгів, які не підлягають поверненню цим учасникам, у випадках, передбачених Законом України ""Про здійснення державних закупівель"" "
24062000;Кошти від учасника — переможця процедури закупівлі;;;Кошти, отримані від учасника - переможця процедури закупівлі під час укладання договору про закупівлю як забезпечення виконання цього договору, які не підлягають поверненню учаснику - переможцю
24062100;Грошові стягнення за шкоду навколишньому природньому середовищу;;;Грошові стягнення за шкоду, заподіяну порушенням законодавства про охорону навколишнього природного середовища внаслідок господарської та іншої діяльності 
24062200;Кошти за шкоду на земельних ділянках;;;Кошти за шкоду, що заподіяна на земельних ділянках державної та комунальної власності, які не надані у користування та не передані у власність, внаслідок їх самовільного зайняття, використання не за цільовим призначенням, зняття ґрунтового покриву (родючого шару ґрунту) без спеціального дозволу
24062400;Кошти від продажу встановленої кількості викидів парникових газів;;;Кошти, отримані від продажу частин встановленої кількості викидів парникових газів, передбаченого статтею 17 Кіотського протоколу до Рамкової конвенції Організації Об'єднаних Націй про зміну клімату
24063100;Кошти, отримані відповідно до статті 8 Закону України;;;"Кошти, отримані відповідно до статті 8 Закону України ""Про впорядкування питань, пов'язаних із забезпеченням ядерної безпеки"" (включаючи надходження заборгованості минулих років за цими коштами), та дохід від розміщення цих коштів у цінні папери відповідно до статті 9 цього ж Закону України"
24063500;Кошти від реалізації продуктів утилізації твердого ракетного палива ;;;Кошти від реалізації продуктів утилізації твердого ракетного палива
24110000;Доходи від операцій з кредитування та надання гарантійДоходи від операцій з кредитування та надання гарантій 
24110100;Плата за надання державних гарантій та кредитів (позик);;;Плата за надання державних гарантій та кредитів (позик), залучених державою
24110200;Плата за користування кредитами (позиками);;;Плата за користування кредитами (позиками), залученими державою 
24110300;Відсотки по державним пільговим кредитом;;;Відсотки за користування державним пільговим кредитом, наданим індивідуальним сільським забудовникам  
24110400;Відсотки по пільговим довгостроковим державним кредитом;;;Відсотки за користування пільговим довгостроковим державним кредитом, наданим молодим сім'ям та одиноким молодим громадянам на будівництво (реконструкцію) та придбання житла
24110500;Інші (курсові різниці);;;Інші (курсові різниці) 
24110600;Відсотки за користування позиками;;;Відсотки за користування позиками, які надавалися з місцевих бюджетів  
24110700;Плата за гарантії;;;Плата за гарантії, надані Верховною Радою Автономної Республіки Крим та міськими радами  
24110800;Плата за користування кредитом з держбюджету ;;;Плата за користування кредитом з державного бюджету
24110900;Відсотки по довгостроковим кредитом;;;Відсотки за користування довгостроковим кредитом, що надається з місцевих бюджетів молодим сім'ям та одиноким молодим громадянам на будівництво (реконструкцію) та придбання житла 
24111000;Плата по мікрокредитам з держбюджету;;;Плата за користування суб'єктами малого підприємництва мікрокредитами з державного бюджету
24130000;Збір на соціально-економічну компенсацію ризику населення;;;Збір на соціально-економічну компенсацію ризику населення, яке проживає на території зони спостереження  
24130100;Збір на соціально-економічну компенсацію ризику населення;;;Збір на соціально-економічну компенсацію ризику населення, яке проживає на території зони спостереження, що сплачується експлуатуючими організаціями при реалізації електричної енергії
24130200;Збір на соціально-економічну компенсацію ризику населення;;;Збір на соціально-економічну компенсацію ризику населення, яке проживає на території зони спостереження, що сплачується підприємствами з видобування і переробки уранових руд
24130300;Збір на соціально-економічну компенсацію ризику населення;;;Збір на соціально-економічну компенсацію ризику населення, яке проживає на території зони спостереження, що сплачується експлуатуючими організаціями за зберігання відпрацьованого ядерного палива
24140000;Обов'язкове державне пенсійне страхування;;;Збори на обов'язкове державне пенсійне страхування з окремих видів господарських операцій 
24140100;Збір з купівлі-продажу безготівкової валюти за гривнюЗбір з операцій купівлі-продажу безготівкової іноземної валюти за гривню 
24140200;Збір з торгівлі ювелірними виробами із золота;;;Збір з торгівлі ювелірними виробами із золота (крім обручок), платини і дорогоцінного каміння  
24140300;Збір під час набуття права власності на автомобілі;;;Збір під час набуття права власності на легкові автомобілі
24140500;Збір з операцій придбавання нерухомого майнаЗбір з операцій придбавання (купівлі-продажу) нерухомого майна 
24140600;Збір з користування та надання послуг рухомого зв'язкуЗбір з користування та надання послуг стільникового рухомого зв'язку 
24160000;Концесійні платежіКонцесійні платежі 
24160100;Концесійні платежі щодо об'єктів комунальної власності;;;Концесійні платежі щодо об'єктів комунальної власності (крім тих, які мають цільове спрямування згідно із законом) 
24160200;Концесійні платежі щодо об'єктів комунальної власності;;;Концесійні платежі щодо об'єктів комунальної власності (які мають цільове спрямування згідно із законом)
24160300;Концесійні платежі щодо об'єктів державної власності ;;;Концесійні платежі щодо об'єктів державної власності
24170000;Надходження коштів пайової участі;;;Надходження коштів пайової участі у розвитку інфраструктури населеного пункту
25000000;Власні надходження бюджетних установВласні надходження бюджетних установ 
25010000;Надходження від плати за послуги;;;Надходження від плати за послуги, що надаються бюджетними установами згідно із законодавством 
25010100;Плата за послуги;;;Плата за послуги, що надаються бюджетними установами згідно з їх основною діяльністю 
25010200;Надходження бюджетних установ від додаткової діяльності ;;;Надходження бюджетних установ від додаткової (господарської) діяльності
25010300;Плата за оренду майна бюджетних установПлата за оренду майна бюджетних установ 
25010400;Надходження бюджетних установ від реалізації в майна;;;Надходження бюджетних установ від реалізації в установленому порядку майна (крім нерухомого майна)
25020000;Інші джерела власних надходжень бюджетних установІнші джерела власних надходжень бюджетних установ 
25020100;Благодійні внески;;;Благодійні внески, гранти та дарунки 
25020200;Кошти що отримують бюджетні установи від підприємств;;;Кошти, що отримують бюджетні установи від підприємств, організацій, фізичних осіб та від інших бюджетних установ для виконання цільових заходів, у тому числі заходів з відчуження для суспільних потреб земельних ділянок та розміщених на них інших об'єктів нерухомого майна, що перебувають у приватній власності фізичних або юридичних осіб
25020300;Кошти що отримують навчальні заклади (розміщення на депозитах);;;Кошти, що отримують вищі та професійно-технічні навчальні заклади від розміщення на депозитах тимчасово вільних бюджетних коштів, отриманих за надання платних послуг, якщо таким закладам законом надано відповідне право 
30000000;Доходи від операцій з капіталом;;;Доходи від операцій з капіталом 
31000000;Надходження від продажу основного капіталуНадходження від продажу основного капіталу 
31010000;Кошти від реалізації скарбів;;;Кошти від реалізації скарбів, майна, одержаного державою або територіальною громадою в порядку спадкування чи дарування, безхазяйного майна, знахідок, а також валютних цінностей і грошових коштів, власники яких невідомі
31010100;Кошти від реалізації скарбів;;;Кошти від реалізації скарбів, які є пам'ятками історії та культури, майна, одержаного державою в порядку спадкування чи дарування
31010200;Кошти від реалізації безхазяйного майна;;;Кошти від реалізації безхазяйного майна, знахідок, спадкового майна, майна, одержаного територіальною громадою в порядку спадкування чи дарування, а також валютні цінності і грошові кошти, власники яких невідомі 
31020000;Надходження коштів від Державного фонду дорогоцінних металів;;;Надходження коштів від Державного фонду дорогоцінних металів і дорогоцінного каміння 
31030000;Кошти від відчуження майна;;;Кошти від відчуження майна, що належить Автономній Республіці Крим та майна, що перебуває в комунальній власності
32000000;Надходження від реалізації державних запасів товарівНадходження від реалізації державних запасів товарів 
32010000;Надходження від реалізації матеріальних цінностей державного резервуНадходження від реалізації матеріальних цінностей державного резерву 
32010100;Надходження від реалізації матеріальних цінностей державного резерву ;;;Надходження від реалізації матеріальних цінностей державного резерву
32010200;;;;Позицію виключено 
32010300;;;;Позицію виключено 
32010200;"Надходження від погашення заборгованості ""Нафтогаз України""";;;"Надходження від погашення заборгованості та зобов'язань публічного акціонерного товариства ""Національна акціонерна компанія ""Нафтогаз України"" перед Державним агентством резерву України за отриманий природний газ"
32010400;Надходження від реалізації цінностей резерву медичного призначенняНадходження від реалізації матеріальних цінностей державного резерву медичного призначення 
32020000;Надходження від реалізації цінностей мобілізаційного резервуНадходження від реалізації розброньованих матеріальних цінностей мобілізаційного резерву 
33000000;Кошти від продажу землі і нематеріальних активів ;;;Кошти від продажу землі і нематеріальних активів
33010000;Кошти від продажу земліКошти від продажу землі 
33010100;Кошти від продажу земель несільськогосподарського призначення;;;Кошти від продажу земельних ділянок несільськогосподарського призначення, що перебувають у державній або комунальній власності, та земельних ділянок, які знаходяться на території Автономної Республіки Крим
33010300;Кошти від продажу земель несільськогосподарського призначення;;;Кошти від продажу земельних ділянок несільськогосподарського призначення або прав на них, що перебувають у державній власності, на яких розташовані об'єкти, які підлягають приватизації
33010200;Кошти від продажу прав на землю несільськогосподарського призначення;;;Кошти від продажу прав на земельні ділянки несільськогосподарського призначення, що перебувають у державній або комунальній власності, та прав на земельні ділянки, які знаходяться на території Автономної Республіки Крим
33010400;Кошти від продажу земель несільськогосподарського призначення;;;Кошти від продажу земельних ділянок несільськогосподарського призначення до розмежування земель державної та комунальної власності з розстроченням платежу
33020000;Надходження від продажу нематеріальних активівНадходження від продажу нематеріальних активів 
34000000;Податки на фінансові операції та операції з капіталомПодатки на фінансові операції та операції з капіталом 
40000000;Офіційні трансферти;;;Офіційні трансферти 
41000000;Від органів державного управління;;;Від органів державного управління 
41010000;Кошти з інших бюджетів;;;Кошти, що надходять з інших бюджетів
41010100;Кошти до державного бюджету з місцевих бюджетів  ;;;Кошти, що передаються до державного бюджету з місцевих бюджетів  
41010200;Кошти від взаєморозрахунків із додаткової дотації;;;Кошти, що надходять за взаємними розрахунками із додаткової дотації до державного бюджету  
41010300;Кошти від взаєморозрахунків із додаткової дотації;;;Кошти, що надходять за взаємними розрахунками із додаткової дотації з державного бюджету  
41010400;Кошти від взаєморозрахунків із додаткової дотації;;;Кошти, що надходять за взаємними розрахунками із додаткової дотації з районних та міських (міст Києва і Севастополя, міст республіканського та обласного значення) до міських (міст районного значення), селищних та сільських бюджетів
41010500;Кошти від взаєморозрахунків із додаткової дотації;;;Кошти, що надходять за взаємними розрахунками із додаткової дотації з міських (міст районного значення), селищних та сільських бюджетів до районних та міських (міст Києва і Севастополя, міст республіканського та обласного значення) бюджетів
41010600;Кошти для районних та міських бюджетів;;;Кошти, що надходять до районних та міських (міст Києва і Севастополя, міст республіканського і обласного значення) бюджетів з міських (міст районного значення), селищних, сільських та районних у містах бюджетів 
41010700;Кошти державному бюджетам від взаєморозрахунків місцевих бюджетів;;;Кошти, що надходять за взаємними розрахунками до державного бюджету з місцевих бюджетів  
41010800;Кошти місцевим бюджетам від взаєморозрахунків державного бюджету;;;Кошти, що надходять за взаємними розрахунками до місцевих бюджетів з державного бюджету  
41010900;Кошти від взаєморозрахунків місцевих бюджетів;;;Кошти, що надходять за взаємними розрахунками між місцевими бюджетами  
41020000;ДотаціїДотації 
41020100;Дотації вирівнювання з державного бюджету місцевим бюджетамДотації вирівнювання з державного бюджету місцевим бюджетам 
41020300;Дотації вирівнювання;;;Дотації вирівнювання, що одержуються з районних та міських (міст Києва і Севастополя, міст республіканського і обласного значення) бюджетів
41020400;Дотація з державного бюджету місцевим бюджетамДодаткові дотації з державного бюджету місцевим бюджетам 
41020600;Дотація на вирівнювання фінансової забезпеченості місцевих бюджетів ;;;Додаткова дотація з державного бюджету на вирівнювання фінансової забезпеченості місцевих бюджетів
41020800;Дотація на утримання соціальної інфраструктури міста Славутича ;;;Додаткова дотація з державного бюджету міському бюджету міста Славутича на забезпечення утримання соціальної інфраструктури міста Славутича
41020900;Інші додаткові дотаціїІнші додаткові дотації 
41021000;Додаткова дотація місцевим бюджетам ;;;Додаткова дотація з державного бюджету місцевим бюджетам на компенсацію втрат доходів місцевих бюджетів внаслідок наданих державою податкових пільг зі сплати земельного податку суб'єктам космічної діяльності, літакобудування, суднобудування та кінематографії
41021100;;;;Позицію виключено 
41021200;Дотація на соціальні послуги найуразливішим верствам населення;;;Додаткова дотація з державного бюджету місцевим бюджетам на покращення надання соціальних послуг найуразливішим верствам населення
41021300;Дотація на допомогу по догляду за інвалідом I-ІI групи;;;Додаткова дотація з державного бюджету місцевим бюджетам на виплату допомоги по догляду за інвалідом I чи II групи внаслідок психічного розладу
41021400;Додаткова дотація місцевим бюджетам ;;;"Додаткова дотація з державного бюджету місцевим бюджетам на здійснення повноважень, встановлених Законом України ""Про затвердження Конституції Автономної Республіки Крим""  "
41021500;Додаткова дотація місцевим бюджетам ;;;Додаткова дотація з державного бюджету місцевим бюджетам на компенсацію втрат доходів внаслідок розміщення Чорноморського флоту Російської Федерації на території міст Севастополя, Феодосії та смт Гвардійське Сімферопольського району 
41021600;;;;Позицію виключено 
41021700;;;;Позицію виключено 
41021800;Дотація на оплату праці працівників бюджетних установ;;;Додаткова дотація з державного бюджету місцевим бюджетам на оплату праці працівників бюджетних установ
41021900;Дотація місцевим бюджетам (стимулювання місцевої влади);;;Додаткова дотація з державного бюджету місцевим бюджетам на стимулювання місцевих органів влади за перевиконання річних розрахункових обсягів податку на прибуток підприємств та акцизного податку
41022000;Дотація обласному бюджету Донецької області;;;"Додаткова дотація з державного бюджету обласному бюджету Донецької області на забезпечення функціонування Донецького палацу молоді ""Юність"""
41030000;СубвенціїСубвенції 
41030200;;;;Позицію виключено
41030200;Субвенція Івано-Франківській області (природоохоронні заходи);;;Субвенція з державного бюджету обласному бюджету Івано-Франківської області для здійснення природоохоронних заходів із видалення, перевезення та утилізації небезпечних відходів гексахлорбензолу у зоні консервації Домбровського кар'єру в Калуському районі
41030300;Субвенція на утримання об'єктів спільного користування;;;Субвенція на утримання об'єктів спільного користування чи ліквідацію негативних наслідків діяльності об'єктів спільного користування 
41030400;Субвенція з інших бюджетів (інвестиційні проекти) ;;;Субвенція з інших бюджетів на виконання інвестиційних проектів
