Code;Short name;Color;Icon;Details
19060200;Receipts of amounts of restructured debt of the fee on the development of viticulture, horticulture and hop;;;Receipts of amounts of restructured debt of the fee on the development of viticulture, horticulture and hop
19070000;The fee for using the radio frequency resource of Ukraine;;;The fee for using the radio frequency resource of Ukraine
19090000;Taxes and fees are not included in other categories;;;Taxes and fees are not included in other categories
19090400;Funds, paid to repay the tax debt in accordance with the provisions of the Tax Code of Ukraine, from income as defined by Article 29 of the Budget Code of Ukraine, in particular for taxes and duties (mandatory payments) levied till January 1, 2011 and set by the Tax Code of Ukraine,;;;Funds, paid to repay the tax debt in accordance with the provisions of the Tax Code of Ukraine, from income as defined by Article 29 of the Budget Code of Ukraine, in particular for taxes and duties (mandatory payments) levied till January 1, 2011 and set by the Tax Code of Ukraine,
20000000;Non-tax revenues;;;Non-tax revenues
21000000;Income from property and business activity;;;Income from property and business activity
21010000;Part of net profit (income) of state or municipal unitary enterprises and their associations, deleted to the corresponding budget and dividends (income) accrued on shares (shares) of economic companies whose authorized capital is state or municipal property;;;Part of net profit (income) of state or municipal unitary enterprises and their associations, deleted to the corresponding budget and dividends (income) accrued on shares (shares) of economic companies whose authorized capital is state or municipal property
21010100;Part of net profit (income) of economic organizations (state unitary enterprises and their associations, deleted to the state budget under the law;;;Part of net profit (income) of economic organizations (state unitary enterprises and their associations, deleted to the state budget under the law
21010300;Part of net profit (income) of municipal unitary enterprises and their associations, deleted to the relevant local budget;;;Part of net profit (income) of municipal unitary enterprises and their associations, deleted to the relevant local budget
21010500;Dividends (income) accrued on shares (shares) of economic companies whose authorized capital is state property;;;Dividends (income) accrued on shares (shares) of economic companies whose authorized capital is state property
21010600;Receipts from the repayment of the debt, including restructured or deferred (delayed), of electricity companies, coal industries, enterprises providing services in production, transportation and supply of heat energy, enterprises of centralized water supply and drainage system, out of payment the part of net profit (income) of state unitary enterprises and their associations deleted to the state budget under the law and dividends (income) accrued on shares (shares) of economic companies whose authorized capital is state property;;;Receipts from the repayment of the debt, including restructured or deferred (delayed), of electricity companies, coal industries, enterprises providing services in production, transportation and supply of heat energy, enterprises of centralized water supply and drainage system, out of payment the part of net profit (income) of state unitary enterprises and their associations deleted to the state budget under the law and dividends (income) accrued on shares (shares) of economic companies whose authorized capital is state property
21010700;"Receipts from the payment of dividends (income) accrued on shares (shares) on the results of financial and economic activities for 2011 of Joint Stock Company"" ""National Joint Stock Company ""Naftogaz of Ukraine""";;;"Receipts from the payment of dividends (income) accrued on shares (shares) on the results of financial and economic activities for 2011 of Joint Stock Company"" ""National Joint Stock Company ""Naftogaz of Ukraine"""
21010800;Dividends (income) accrued on shares (shares) of economic companies whose authorized capital is the property of the Autonomous Republic of Crimea, municipal property;;;Dividends (income) accrued on shares (shares) of economic companies whose authorized capital is the property of the Autonomous Republic of Crimea, municipal property
21010900;"Arrears in payment of past periods of net profit (income) of National Joint Stock Company ""Naftogaz of Ukraine"" and its enterprises";;;"Arrears in payment of past periods of net profit (income) of National Joint Stock Company ""Naftogaz of Ukraine"" and its enterprises"
21020000;"Funds, transferred by National Bank of Ukraine according to the Law of Ukraine ""On the National Bank of Ukraine"" ";;;"Funds, transferred by National Bank of Ukraine according to the Law of Ukraine ""On the National Bank of Ukraine"" "
21030000;Allocations of funds received from conducting state lotteries in Ukraine;;;Allocations of funds received from conducting state lotteries in Ukraine
21040000;The fee for placement of temporarily free funds of state budget;;;The fee for placement of temporarily free funds of state budget
21050000;The fee for placement of temporarily free funds of local budgets;;;The fee for placement of temporarily free funds of local budgets
21080000;Other revenues;;;Other revenues
21080100;Payments related to the stay of the Black Sea Fleet of the Russian Federation in Ukraine, according to the signed intergovernmental agreement;;;Payments related to the stay of the Black Sea Fleet of the Russian Federation in Ukraine, according to the signed intergovernmental agreement
21080200;Payments related to the implementation of the Agreement between the Government of Ukraine and the Government of the Russian Federation on participation in the development of socio-economic sphere of Sevastopol and other settlements in which deployed military units Russian Black Sea Fleet in Ukraine;;;Payments related to the implementation of the Agreement between the Government of Ukraine and the Government of the Russian Federation on participation in the development of socio-economic sphere of Sevastopol and other settlements in which deployed military units Russian Black Sea Fleet in Ukraine
21080500;Other revenues;;;Other revenues
21080600;The amounts levied from those responsible for the harm caused to the state, enterprises, institutions, organizations;;;The amounts levied from those responsible for the harm caused to the state, enterprises, institutions, organizations
21080700;Transfer the share of the cost of non-standard products from a permit for a temporary deviations from the requirements of the relevant standards of product quality, issued by the State Committee of Ukraine for Standardization, Metrology and Certification;;;Transfer the share of the cost of non-standard products from a permit for a temporary deviations from the requirements of the relevant standards of product quality, issued by the State Committee of Ukraine for Standardization, Metrology and Certification
21080800;The amounts levied from those responsible for violations of fire safety rules;;;The amounts levied from those responsible for violations of fire safety rules
21080900;Penalties for violation of legislation on patents, for violation of the regulation of cash and the use of payment transactions recorders in trade, catering and services;;;Penalties for violation of legislation on patents, for violation of the regulation of cash and the use of payment transactions recorders in trade, catering and services
21081000;Fine for breach of settlement terms in foreign economic activity, for non-compliance and penalties for violations of currency legislation;;;Fine for breach of settlement terms in foreign economic activity, for non-compliance and penalties for violations of currency legislation
21081100;Administrative fines and other sanctions;;;Administrative fines and other sanctions
21081200;Penalties for violation of legislation on efficient use of energy resources;;;Penalties for violation of legislation on efficient use of energy resources
21081300;Administrative penalties in the field of road safety;;;Administrative penalties in the field of road safety
21081400;Receipts of taxes and charges (mandatory payments) levied till 1 January 2011, but not by the Tax Code (excluding taxes and charges received by the local budgets), including the deferred amounts of cash commitments, amount of tax debt considering penalties and fines, being accounted at 31 December 2010 and amounts assessed by acts of inspections;;;Receipts of taxes and charges (mandatory payments) levied till 1 January 2011, but not by the Tax Code (excluding taxes and charges received by the local budgets), including the deferred amounts of cash commitments, amount of tax debt considering penalties and fines, being accounted at 31 December 2010 and amounts assessed by acts of inspections
21082000;Receipts from paying by disabled of partial value of cars and money from the sale of vehicles returned by disabled;;;Receipts from paying by disabled of partial value of cars and money from the sale of vehicles returned by disabled
21090000;Funds of use (sales) of output, which is owned by the state under production sharing agreements;;;Funds of use (sales) of output, which is owned by the state under production sharing agreements
21110000;Receipts from compensation for loss of agricultural and forestry production;;;Receipts from compensation for loss of agricultural and forestry production
22000000;Administrative fees and charges, revenues from non-profit economic activity;;;Administrative fees and charges, revenues from non-profit economic activity
22010000;The fee for administrative services;;;The fee for administrative services
22010200;License fee for certain types of entrepreneurial activity and certificates issued by the Council of Ministers of the Autonomous Republic of Crimea, local councils, executive bodies and local authorities;;;License fee for certain types of entrepreneurial activity and certificates issued by the Council of Ministers of the Autonomous Republic of Crimea, local councils, executive bodies and local authorities
22010300;Registration fee for the state registration of legal entities and individuals - entrepreneurs;;;Registration fee for the state registration of legal entities and individuals - entrepreneurs
22010400;Funds in foreign currency for the registration of representative offices of foreign business entities;;;Funds in foreign currency for the registration of representative offices of foreign business entities
22010500;The fee for license for production of ethanol, cognac and fruit alcohol, alcoholic beverages and tobacco products;;;The fee for license for production of ethanol, cognac and fruit alcohol, alcoholic beverages and tobacco products
22010600;The fee for licenses to export, import and wholesale of ethanol, cognac and fruit alcohol;;;The fee for licenses to export, import and wholesale of ethanol, cognac and fruit alcohol
22010700;The fee for licenses to export, import of alcoholic beverages and tobacco;;;The fee for licenses to export, import of alcoholic beverages and tobacco
22010900;The fee for state registration (except registration fee for state registration of legal entities and individuals - entrepreneurs);;;The fee for state registration (except registration fee for state registration of legal entities and individuals - entrepreneurs)
22011000;The fee for license for wholesale trade in alcoholic beverages and tobacco;;;The fee for license for wholesale trade in alcoholic beverages and tobacco
22011100;The fee for license to retail alcoholic beverages and tobacco;;;The fee for license to retail alcoholic beverages and tobacco
22011200;The fee for the issuing, continuation, renewal of licenses and the issuing of duplicate license broadcasting licenses and software service provider;;;The fee for the issuing, continuation, renewal of licenses and the issuing of duplicate license broadcasting licenses and software service provider
22011400;The fee for the issuing, renewal, extension of licenses for use of radio frequency resource of Ukraine and issuing of duplicate licenses;;;The fee for the issuing, renewal, extension of licenses for use of radio frequency resource of Ukraine and issuing of duplicate licenses
22011500;The fee for licenses issued by the National Commission for State Regulation of Energy;;;The fee for licenses issued by the National Commission for State Regulation of Energy
22011700;The fee for the issuing, renewal, extension of licenses for activities in telecommunications and issuing of duplicate copies and licenses;;;The fee for the issuing, renewal, extension of licenses for activities in telecommunications and issuing of duplicate copies and licenses
22011800;The fee for licenses and certificates paid by licensees for place of business;;;The fee for licenses and certificates paid by licensees for place of business
22011900;The fee for preparation for state registration of copyright and agreements concerning copyright, and payment for the acquisition of control stamps;;;The fee for preparation for state registration of copyright and agreements concerning copyright, and payment for the acquisition of control stamps
22012000;The fee for issuing permits to import into Ukraine, export from Ukraine or transit through the territory of Ukraine of narcotic drugs, psychotropic substances and precursors;;;The fee for issuing permits to import into Ukraine, export from Ukraine or transit through the territory of Ukraine of narcotic drugs, psychotropic substances and precursors
22012100;The fee for the issuing of special permits for subsoil use and proceeds from the sale of permits;;;The fee for the issuing of special permits for subsoil use and proceeds from the sale of permits
22012200;The fee for allocation of numbering resource;;;The fee for allocation of numbering resource
22012300;The fee for state registration of ionizing radiation (registration fee);;;The fee for state registration of ionizing radiation (registration fee)
22012400;The fee for registration of the Ukrainian foreign certificate;;;The fee for registration of the Ukrainian foreign certificate
22012500;The fee for the provision of other administrative services;;;The fee for the provision of other administrative services
22020000;The fee for keeping children in boarding schools;;;The fee for keeping children in boarding schools
22030000;Court fee;;;Court fee
22050000;Receipts from paying the costs of information technology ensuring consideration of cases in courts;;;Receipts from paying the costs of information technology ensuring consideration of cases in courts
22060000;Funds received for consular commission;;;Funds received for consular commission
22070000;Executive fee;;;Executive fee
22080000;Receipts from rental fee for the use of integral property complexes and other public property;;;Receipts from rental fee for the use of integral property complexes and other public property
22080100;Receipts from rental fee for the use of integral property complexes;;;Receipts from rental fee for the use of integral property complexes
22080200;Receipts from rental fee for the use of property of budgetary institutions;;;Receipts from rental fee for the use of property of budgetary institutions
22080300;Receipts from rental fee for the use of other public property;;;Receipts from rental fee for the use of other public property
22080400;Receipts from rental fee for the use of integral property complexes and other property that is in municipal ownership;;;Receipts from rental fee for the use of integral property complexes and other property that is in municipal ownership
22080500;Receipts of payment for provided the tenant cash and securities on credit terms;;;Receipts of payment for provided the tenant cash and securities on credit terms
22090000;State duty;;;State duty
22090100;State duty, paid at the place of examination and registration documents, including registration documents on inheritance and gift;;;State duty, paid at the place of examination and registration documents, including registration documents on inheritance and gift
22090200;State duty, not covered by other categories;;;State duty, not covered by other categories
22090300;State duty for actions related to obtaining patents for intellectual property rights, maintaining their force and transmission rights of their owners;;;State duty for actions related to obtaining patents for intellectual property rights, maintaining their force and transmission rights of their owners
22090400;State duty associated with the issuing and registration of passports (certificates) and passports of citizens of Ukraine;;;State duty associated with the issuing and registration of passports (certificates) and passports of citizens of Ukraine
22090500;Receipts of amounts of restructured arrears of state duty;;;Receipts of amounts of restructured arrears of state duty
22090600;State duty for state registration of ownership of real property ,  for state registration of the other rights to immovable property, encumbrance of rights to real property;;;State duty for state registration of ownership of real property ,  for state registration of the other rights to immovable property, encumbrance of rights to real property
22100000;Customs duties ;;;Customs duties 
22110000;Single fee paid at checkpoints across the state border of Ukraine;;;Single fee paid at checkpoints across the state border of Ukraine
22120000;The fee for leased ponds located in river basins of national importance;;;The fee for leased ponds located in river basins of national importance
22130000;Rental fee for water bodies (or parts thereof) provided for use on a rental basis by the Council of Ministers of the Autonomous Republic of Crimea, regional, Kyiv and Sevastopol city state administrations, local councils;;;Rental fee for water bodies (or parts thereof) provided for use on a rental basis by the Council of Ministers of the Autonomous Republic of Crimea, regional, Kyiv and Sevastopol city state administrations, local councils
22150000;Harbor (administrative) dues;;;Harbor (administrative) dues
22150100;Harbor (administrative) dues (excluding harbour (administrative) dues that come from the fishing port);;;Harbor (administrative) dues (excluding harbour (administrative) dues that come from the fishing port)
22150200;Harbor (administrative) dues that come from the fishing port;;;Harbor (administrative) dues that come from the fishing port
22160000;Other administrative fees and payments;;;Other administrative fees and payments
22160100;The fee for travel on the roads of vehicles and other self-propelled machinery, weight or dimensions exceed regulatory parameters;;;The fee for travel on the roads of vehicles and other self-propelled machinery, weight or dimensions exceed regulatory parameters
22200000;The fee for execution of customs formalities by customs authorities outside the location of customs authorities or outside working hours set forth for customs authorities;;;The fee for execution of customs formalities by customs authorities outside the location of customs authorities or outside working hours set forth for customs authorities
24000000;Other non-tax revenues;;;Other non-tax revenues
24010000;Funds from the sale of property confiscated by the court;;;Funds from the sale of property confiscated by the court
24010100;Funds from the sale of confiscated property on materials of customs authorities;;;Funds from the sale of confiscated property on materials of customs authorities
24010200;Funds from the sale of goods and other items confiscated on the materials of law-enforcement and other authorized bodies;;;Funds from the sale of goods and other items confiscated on the materials of law-enforcement and other authorized bodies
24010300;Receipts of confiscated national and foreign currency on materials of customs authorities;;;Receipts of confiscated national and foreign currency on materials of customs authorities
24010400;Receipts of confiscated foreign and national currency on the materials of law-enforcement and other authorized bodies;;;Receipts of confiscated foreign and national currency on the materials of law-enforcement and other authorized bodies
24030000;Receipts of amounts of payables and depositor debt of enterprises, organizations and institutions for which expired limitation period;;;Receipts of amounts of payables and depositor debt of enterprises, organizations and institutions for which expired limitation period
24040000;Funds from the sale of surplus space technology of military and dual-use;;;Funds from the sale of surplus space technology of military and dual-use
24050000;Funds from the sale of surplus weapons, military and special vehicles, immovable military property of the Armed Forces of Ukraine and other established under the laws of Ukraine's military forces, law enforcement and other government agencies;;;Funds from the sale of surplus weapons, military and special vehicles, immovable military property of the Armed Forces of Ukraine and other established under the laws of Ukraine's military forces, law enforcement and other government agencies
24060000;Other revenues;;;Other revenues
24060300;Other revenues;;;Other revenues
24060500;Deduction of the amount of money spent on advertising of tobacco and / or alcohol within Ukraine;;;Deduction of the amount of money spent on advertising of tobacco and / or alcohol within Ukraine
24060600;Receipts from the accounts of the election funds;;;Receipts from the accounts of the election funds
24060700;Unexplained receipts;;;Unexplained receipts
24060800;Receipts from fee for touring events;;;Receipts from fee for touring events
24061500;Receipts to the State specialized fund for financing state expenses in aviation and Ukraine's participation in international aviation organizations;;;Receipts to the State specialized fund for financing state expenses in aviation and Ukraine's participation in international aviation organizations
24061600;Other receipts to Environmental Protection funds;;;Other receipts to Environmental Protection funds
24061800;"The fee for submission of complaints to the body of appeal under Article 18 of the Law of Ukraine "" On Public Procurement """;;;"The fee for submission of complaints to the body of appeal under Article 18 of the Law of Ukraine "" On Public Procurement """
24061900;"Funds from providing the members of the procurement procedures to ensure their tender offer that are not subject to return it to the participants, in cases provided by the Law of Ukraine ""On Public Procurement""";;;"Funds from providing the members of the procurement procedures to ensure their tender offer that are not subject to return it to the participants, in cases provided by the Law of Ukraine ""On Public Procurement"""
24062000;Funds from the participant - winner of the procurement procedure at the conclusion of the purchase agreement as the enforcement of this agreement, that are not refundable to the participant - winner;;;Funds from the participant - winner of the procurement procedure at the conclusion of the purchase agreement as the enforcement of this agreement, that are not refundable to the participant - winner
24062100;Fines for damage caused by violation of the law on the protection of the environment as a result of economic and other activities;;;Fines for damage caused by violation of the law on the protection of the environment as a result of economic and other activities
24062200;Funds for damages caused on the land of state and municipal property, which are not provided for use and not transferred to the ownership, due to their unauthorized occupation, use inappropriately, the removal of soil (topsoil) without special permission;;;Funds for damages caused on the land of state and municipal property, which are not provided for use and not transferred to the ownership, due to their unauthorized occupation, use inappropriately, the removal of soil (topsoil) without special permission
24062400;Funds from the sale of assigned amount of greenhouse gases under Article 17 of the Kyoto Protocol to the Framework Convention of the United Nations on Climate Change;;;Funds from the sale of assigned amount of greenhouse gases under Article 17 of the Kyoto Protocol to the Framework Convention of the United Nations on Climate Change
24063100;"Funds received under Article 8 of the Law of Ukraine ""On Regulation of Issues Related to Nuclear Safety"" (including the receipt of arrears of previous years from these funds), and income from the placement of funds in securities in accordance with Article 9 of the same Law of Ukraine ";;;"Funds received under Article 8 of the Law of Ukraine ""On Regulation of Issues Related to Nuclear Safety"" (including the receipt of arrears of previous years from these funds), and income from the placement of funds in securities in accordance with Article 9 of the same Law of Ukraine "
24063500;Funds from the sale of products disposal of solid rocket fuel;;;Funds from the sale of products disposal of solid rocket fuel
24100000;Investments;;;Investments
24110000;Income from crediting operations and guarantees;;;Income from crediting operations and guarantees
24110100;The fee for state guarantees and credits (loans) attracted by the state;;;The fee for state guarantees and credits (loans) attracted by the state
24110200;The fee for credits (loans) attracted by the state;;;The fee for credits (loans) attracted by the state
24110300;Interest for the use of state preferential credits granted to individual rural developers;;;Interest for the use of state preferential credits granted to individual rural developers
24110400;Interest on long-term use of preferential state credits granted to young families and single young citizens for construction (reconstruction) and purchase of housing;;;Interest on long-term use of preferential state credits granted to young families and single young citizens for construction (reconstruction) and purchase of housing
24110500;Other (exchange differences);;;Other (exchange differences)
24110600;Interest for the use of loans, granted from local budgets;;;Interest for the use of loans, granted from local budgets
24110700;The fee for guarantees issued by the Verkhovna Rada of the Autonomous Republic of Crimea and city councils;;;The fee for guarantees issued by the Verkhovna Rada of the Autonomous Republic of Crimea and city councils
24110800;The fee for the use of credit from the state budget;;;The fee for the use of credit from the state budget
24110900;Interest on long-term use of credit provided by the local budgets of young families and single young citizens for construction (reconstruction) and purchase of housing;;;Interest on long-term use of credit provided by the local budgets of young families and single young citizens for construction (reconstruction) and purchase of housing
24111000;The fee from small businesses from the use of micro credits from the state budget;;;The fee from small businesses from the use of micro credits from the state budget
24130000;The fee for socio-economic compensation for the risk of population, living in the surveillance zone;;;The fee for socio-economic compensation for the risk of population, living in the surveillance zone
24130100;The fee for socio-economic compensation for the risk of population, living in the surveillance zone, paid by operating organizations from the implementation of electricity;;;The fee for socio-economic compensation for the risk of population, living in the surveillance zone, paid by operating organizations from the implementation of electricity
24130200;The fee for socio-economic compensation for the risk of population, living in the surveillance zone, paid by enterprises for extraction and processing of uranium ores;;;The fee for socio-economic compensation for the risk of population, living in the surveillance zone, paid by enterprises for extraction and processing of uranium ores
24130300;The fee for socio-economic compensation for the risk of population, living in the surveillance zone, paid by operating organizations for storage of spent nuclear fuel;;;The fee for socio-economic compensation for the risk of population, living in the surveillance zone, paid by operating organizations for storage of spent nuclear fuel
24140000;The fees on obligatory state pension insurance with certain types of business transactions;;;The fees on obligatory state pension insurance with certain types of business transactions
24140100;The fee for transactions of purchase and sale of cashless foreign currency for hryvnias;;;The fee for transactions of purchase and sale of cashless foreign currency for hryvnias
24140200;The fee for jewelry trade of gold (except wedding rings), platinum and precious stones;;;The fee for jewelry trade of gold (except wedding rings), platinum and precious stones
24140300;The fee during the acquisition of ownership for cars;;;The fee during the acquisition of ownership for cars
24140500;The fee from operations of purchasing (sale) of real estate;;;The fee from operations of purchasing (sale) of real estate
24140600;The fee from the use and services of cellular mobile network;;;The fee from the use and services of cellular mobile network
24160000;Concession fees;;;Concession fees
24160100;Concession fees for municipal properties (except those with target orientation according to the law);;;Concession fees for municipal properties (except those with target orientation according to the law)
24160200;Сoncession fees for municipal properties (with target orientation according to the law);;;Сoncession fees for municipal properties (with target orientation according to the law)
24160300;Сoncession fees for state property;;;Сoncession fees for state property
24170000;Receipts of funds of share participation in infrastructure development of the settlement;;;Receipts of funds of share participation in infrastructure development of the settlement
25000000;Own receipts of budgetary institutions;;;Own receipts of budgetary institutions
25010000;Receipts from fees for services provided by budgetary institutions under the law;;;Receipts from fees for services provided by budgetary institutions under the law
25010100;The fee for services provided by budgetary institutions according to their main activity;;;The fee for services provided by budgetary institutions according to their main activity
25010200;Receipts from additional budgetary institutions (economic) activity;;;Receipts from additional budgetary institutions (economic) activity
25010300;The fee for rental property of budgetary institutions;;;The fee for rental property of budgetary institutions
25010400;Receipts of budgetary institutions from the sale of property in the established procedure (other than immovable property);;;Receipts of budgetary institutions from the sale of property in the established procedure (other than immovable property)
25020000;Other sources of own receipts of budgetary institutions;;;Other sources of own receipts of budgetary institutions
25020100;Charitable contributions, grants and gifts;;;Charitable contributions, grants and gifts
25020200;Funds obtained from businesses, organizations, individuals and other budgetary institutions for the implementation of targeted measures, including measures of exclusion for public use of land plots and placing on them other real property privately owned by individuals or legal entities;;;Funds obtained from businesses, organizations, individuals and other budgetary institutions for the implementation of targeted measures, including measures of exclusion for public use of land plots and placing on them other real property privately owned by individuals or legal entities
25020300;Funds that get institutions of higher and vocational education by depositing temporarily free budget funds received for paid services if such institutions legally have the corresponding right;;;Funds that get institutions of higher and vocational education by depositing temporarily free budget funds received for paid services if such institutions legally have the corresponding right
30000000;Revenues from capital transactions;;;Revenues from capital transactions
31000000;Receipts from sale of capital;;;Receipts from sale of capital
31010000;Funds from the sale of treasures, property obtained by state or territorial community by inheritance or gift, ownerless property, finds, and currency values ??and money, the owners of which are unknown;;;Funds from the sale of treasures, property obtained by state or territorial community by inheritance or gift, ownerless property, finds, and currency values ??and money, the owners of which are unknown
31010100;Funds from the sale of treasures that are monuments of history and culture, property, obtained by state by way of inheritance or donation;;;Funds from the sale of treasures that are monuments of history and culture, property, obtained by state by way of inheritance or donation
31010200;Funds from the sale of ownerless property, finds, inherited property, property obtained by a territorial community by inheritance or gift, as well as currency values ??and funds whose owners are unknown;;;Funds from the sale of ownerless property, finds, inherited property, property obtained by a territorial community by inheritance or gift, as well as currency values ??and funds whose owners are unknown
31020000;Receipts from the State Fund of Precious Metals and Precious Stones;;;Receipts from the State Fund of Precious Metals and Precious Stones
31030000;Funds from the sale of property belonging to the Autonomous Republic of Crimea and property located in the municipal property;;;Funds from the sale of property belonging to the Autonomous Republic of Crimea and property located in the municipal property
32000000;Receipts from the sale of government stocks of goods;;;Receipts from the sale of government stocks of goods
32010000;Receipts from sale of property of state reserve;;;Receipts from sale of property of state reserve
32010100;Receipts from sale of property of state reserve;;;Receipts from sale of property of state reserve
32010200;Position excluded;;;Position excluded
32010300;Position excluded;;;Position excluded
32010200;"Receipts from the repayment of the debt and duties of public company ""National Joint Stock Company ""Naftogaz of Ukraine"" to the State Reserve Agency of Ukraine for natural gas received";;;"Receipts from the repayment of the debt and duties of public company ""National Joint Stock Company ""Naftogaz of Ukraine"" to the State Reserve Agency of Ukraine for natural gas received"
32010400;Receipts from sale of property of state medical reserve;;;Receipts from sale of property of state medical reserve
32020000;Receipts from sale of property of deallocated mobilization reserve;;;Receipts from sale of property of deallocated mobilization reserve
33000000;Funds from the sale of land and intangible assets;;;Funds from the sale of land and intangible assets
33010000;Funds from the sale of land;;;Funds from the sale of land
33010100;Funds from the sale of non-agricultural land plots that are in state or municipal property and land, located on the territory of the Autonomous Republic of Crimea;;;Funds from the sale of non-agricultural land plots that are in state or municipal property and land, located on the territory of the Autonomous Republic of Crimea
33010300;Funds from the sale of non-agricultural land plots or rights to them which are in state ownership, where the objects are situated subjected to privatization ;;;Funds from the sale of non-agricultural land plots or rights to them which are in state ownership, where the objects are situated subjected to privatization 
33010200;Funds from the sale of rights to land for non-agricultural purposes, which are in state or municipal property and rights to land plots located on the territory of the Autonomous Republic of Crimea;;;Funds from the sale of rights to land for non-agricultural purposes, which are in state or municipal property and rights to land plots located on the territory of the Autonomous Republic of Crimea
33010400;Funds from the sale of non-agricultural land for demarcation of state and municipal property paid in installments;;;Funds from the sale of non-agricultural land for demarcation of state and municipal property paid in installments
33020000;Receipts from sale of intangible assets;;;Receipts from sale of intangible assets
34000000;Taxes on financial transactions and capital transactions;;;Taxes on financial transactions and capital transactions
40000000;Official transfers;;;Official transfers
41000000;From public administration;;;From public administration
41010000;Funds coming from other budgets;;;Funds coming from other budgets
41010100;Funds transferred to the state budget of local budgets;;;Funds transferred to the state budget of local budgets
41010200;Funds received for mutual settlements with additional subsidies to the state budget;;;Funds received for mutual settlements with additional subsidies to the state budget
41010300;Funds received for mutual settlements with additional subsidies from the state budget;;;Funds received for mutual settlements with additional subsidies from the state budget
41010400;Funds received for mutual settlements with additional subsidies from the district and city (Kyiv and Sevastopol, cities of Republican and regional importance) to urban (cities of regional importance), town and village budgets;;;Funds received for mutual settlements with additional subsidies from the district and city (Kyiv and Sevastopol, cities of Republican and regional importance) to urban (cities of regional importance), town and village budgets
41010500;Funds received for mutual settlements with additional subsidies from the city (cities of regional importance), town and village budgets to the district and city (Kyiv and Sevastopol, cities of Republican and regional importance) budgets;;;Funds received for mutual settlements with additional subsidies from the city (cities of regional importance), town and village budgets to the district and city (Kyiv and Sevastopol, cities of Republican and regional importance) budgets
41010600;Funds received by the district and city (Kyiv and Sevastopol, cities of Republican and regional importance) budgets of the city (cities of regional importance), town and village and city district budgets;;;Funds received by the district and city (Kyiv and Sevastopol, cities of Republican and regional importance) budgets of the city (cities of regional importance), town and village and city district budgets
41010700;Funds received by mutual settlements to the state budget from local budgets;;;Funds received by mutual settlements to the state budget from local budgets
41010800;Funds received by mutual settlements to local budgets from the state budget;;;Funds received by mutual settlements to local budgets from the state budget
41010900;Funds received by mutual settlements between local budgets;;;Funds received by mutual settlements between local budgets
41020000;Subsidies;;;Subsidies
41020100;Equalization subsidies from the state budget to local budgets;;;Equalization subsidies from the state budget to local budgets
41020300;Equalization subsidies derived from regional and city (Kyiv and Sevastopol, cities of Republican and regional importance) budgets;;;Equalization subsidies derived from regional and city (Kyiv and Sevastopol, cities of Republican and regional importance) budgets
41020400;Additional subsidies from the state budget to local budgets;;;Additional subsidies from the state budget to local budgets
41020600;Additional subsidy from the state budget to equalize the financial security of local budgets;;;Additional subsidy from the state budget to equalize the financial security of local budgets
41020800;Additional subsidy from the state budget of Slavutych city budget to ensure the maintenance of social infrastructure of the town of Slavutych;;;Additional subsidy from the state budget of Slavutych city budget to ensure the maintenance of social infrastructure of the town of Slavutych
41020900;Other additional subsidies;;;Other additional subsidies
41021000;Additional subsidy from the state budget to local budgets to compensate for lost revenues of local budgets due to tax benefits provided by the state to pay land tax the subjects of space activity, aircraft, shipbuilding and cinematography;;;Additional subsidy from the state budget to local budgets to compensate for lost revenues of local budgets due to tax benefits provided by the state to pay land tax the subjects of space activity, aircraft, shipbuilding and cinematography
41021100;Position excluded;;;Position excluded
41021200;Additional subsidy from the state budget to local budgets for the improvement of social services to most vulnerable population;;;Additional subsidy from the state budget to local budgets for the improvement of social services to most vulnerable population
41021300;Additional subsidy from the state budget to local budgets for assistance for the care of a disabled group I or II due to mental disorder;;;Additional subsidy from the state budget to local budgets for assistance for the care of a disabled group I or II due to mental disorder
41021400;"Additional subsidies from the state budget to local budgets for implementation of authority established by the Law of Ukraine ""On Approval of the Constitution of the Autonomous Republic of Crimea"" ";;;"Additional subsidies from the state budget to local budgets for implementation of authority established by the Law of Ukraine ""On Approval of the Constitution of the Autonomous Republic of Crimea"" "
41021500;Additional subsidy from the state budget to local budgets to compensate for loss of income due to placing Russian Black Sea Fleet on the territory of Sevastopol, Feodosia and Guards settlement of Simferopol region;;;Additional subsidy from the state budget to local budgets to compensate for loss of income due to placing Russian Black Sea Fleet on the territory of Sevastopol, Feodosia and Guards settlement of Simferopol region
41021600;Position excluded;;;Position excluded
41021700;Position excluded;;;Position excluded
41021800;Additional subsidy from the state budget to local budgets for salaries of state employees;;;Additional subsidy from the state budget to local budgets for salaries of state employees
41021900;Additional subsidy from the state budget to local budgets to encourage local authorities for exceeding of the annual estimated amount of corporate income tax and excise tax;;;Additional subsidy from the state budget to local budgets to encourage local authorities for exceeding of the annual estimated amount of corporate income tax and excise tax
41022000;"Additional subsidies from the state budget to regional budget of Donetsk region for providing the operation of the Donetsk Palace of youth ""Yunist""";;;"Additional subsidies from the state budget to regional budget of Donetsk region for providing the operation of the Donetsk Palace of youth ""Yunist"""
41030000;Subventions;;;Subventions
41030200;Position excluded;;;Position excluded
